episode_id,npz_path,rows,cols,time_sec_min,time_sec_max,has_nan,Accelerometer_min,Accelerometer_max,Accelerometer_mean,Accelerometer_std,GasLeak_min,GasLeak_max,GasLeak_mean,GasLeak_std,Pressure_1_min,Pressure_1_max,Pressure_1_mean,Pressure_1_std,Pressure_2_min,Pressure_2_max,Pressure_2_mean,Pressure_2_std,Temperature_1_min,Temperature_1_max,Temperature_1_mean,Temperature_1_std,Temperature_2_min,Temperature_2_max,Temperature_2_mean,Temperature_2_std,split
0,/workspace/turm/processed/episodes_npz/episode_00000.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.05513441562652588,0.028103312477469444,0.0,1007.0,544.2890625,310.2778625488281,0.001482888008467853,3.25,1.5648154020309448,0.80092453956604,0.0012341650435701013,3.25,2.523909568786621,0.5761939883232117,0.07525687664747238,110.0,55.18527603149414,31.880022048950195,0.0,110.0,16.106101989746094,25.71834373474121,train
1,/workspace/turm/processed/episodes_npz/episode_00001.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.05658189207315445,0.028074106201529503,0.0,1007.0,541.6647338867188,296.44915771484375,0.0,3.25,0.9849926233291626,1.076924204826355,0.0,3.25,1.4707894325256348,0.9100328683853149,0.0,110.0,61.37538528442383,32.439144134521484,0.0,110.0,58.58486557006836,27.67551612854004,test
2,/workspace/turm/processed/episodes_npz/episode_00002.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.017759153619408607,0.025302153080701828,0.0,1007.0,474.3288879394531,304.939697265625,0.0,3.25,0.6007026433944702,0.8645535111427307,0.000617276004049927,3.25,1.656553030014038,0.8415383696556091,0.0,110.0,76.17931365966797,24.946563720703125,0.0,110.0,56.13677978515625,35.06767654418945,train
3,/workspace/turm/processed/episodes_npz/episode_00003.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.053502146154642105,0.028287626802921295,0.0,1007.0,544.9058227539062,310.81158447265625,0.0014947450254112482,3.25,2.207728147506714,0.689526379108429,0.0013140670489519835,3.25,1.9425767660140991,0.8280223608016968,1.186171531677246,110.0,86.30970001220703,19.646106719970703,0.4369141757488251,110.0,57.39665222167969,31.03436279296875,train
4,/workspace/turm/processed/episodes_npz/episode_00004.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.01564384065568447,0.025237247347831726,0.0,1007.0,516.5507202148438,294.0851135253906,0.0030198730528354645,3.25,1.9225491285324097,0.8417991995811462,0.0005340159987099469,3.25,1.7752257585525513,0.9116131067276001,0.0,110.0,52.2905158996582,32.523902893066406,0.0,110.0,81.6649169921875,24.41932487487793,val
5,/workspace/turm/processed/episodes_npz/episode_00005.npz,3000,6,0.0,299.8999938964844,False,2.490900078555569e-05,0.10000000149011612,0.0861860141158104,0.0136798657476902,0.0,1007.0,489.920166015625,286.5399475097656,0.00013999000657349825,3.25,1.644816517829895,0.9698377847671509,0.0012077389983460307,3.25,1.952911138534546,0.8143969774246216,0.0,110.0,79.56380462646484,23.43616485595703,0.0,110.0,56.1766242980957,28.6645450592041,test
6,/workspace/turm/processed/episodes_npz/episode_00006.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.016697173938155174,0.024867653846740723,0.0,1007.0,482.66741943359375,300.9346008300781,0.003340632887557149,3.25,2.165006160736084,0.8336993455886841,0.0005586260231211782,3.25,1.7511985301971436,0.8494271039962769,0.0,110.0,74.30280303955078,26.866474151611328,0.0,110.0,56.36671829223633,32.17363357543945,train
7,/workspace/turm/processed/episodes_npz/episode_00007.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.05511021986603737,0.03021673671901226,0.0,1007.0,158.39984130859375,247.39613342285156,0.001051192986778915,3.25,1.8204106092453003,1.039873719215393,0.0,3.25,1.8250133991241455,0.907816469669342,0.3148516118526459,110.0,49.34770965576172,31.542612075805664,0.0,110.0,76.52989959716797,25.45248031616211,train
8,/workspace/turm/processed/episodes_npz/episode_00008.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.052941467612981796,0.029758913442492485,0.0,1007.0,747.0025024414062,195.1574249267578,3.2903000828810036e-05,3.25,3.059443950653076,0.2590210735797882,0.0001036870016832836,3.25,1.8321888446807861,0.9579726457595825,0.0,110.0,89.4099349975586,19.67618179321289,0.0,110.0,60.70876693725586,32.75238037109375,train
9,/workspace/turm/processed/episodes_npz/episode_00009.npz,3000,6,0.0,299.8999938964844,False,0.0,0.10000000149011612,0.03673165291547775,0.030639369040727615,0.0,1007.0,511.8177185058594,305.57989501953125,0.0,3.25,0.8570060133934021,0.9161098003387451,0.0,3.25,2.952378988265991,0.31344178318977356,0.0,110.0,69.18254089355469,29.269641876220703,0.6137692332267761,110.0,56.73398971557617,29.03960418701172,train
